Age,2024 Net Worth,Industry,Title,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,SelfMadeBinary
69.0,1300000000.0,13,319,0,,,29,30,1,0
56.0,1600000000.0,10,256,0,,,376,34,1,0
78.0,1300000000.0,6,46,0,,,606,35,1,0
55.0,9300000000.0,4,149,0,,,300,58,0,0
50.0,1700000000.0,12,115,1,,,208,61,1,1
45.0,2100000000.0,16,867,1,,,508,7,1,1
78.0,7500000000.0,1,84,0,,,196,68,1,0
75.0,10600000000.0,10,84,1,,,347,54,1,1
53.0,1300000000.0,10,111,1,,,542,12,1,1
80.0,3400000000.0,16,212,1,,,597,33,1,1
73.0,2200000000.0,5,256,1,,,143,32,1,1
71.0,2200000000.0,2,192,1,,,274,54,1,1
62.0,29000000000.0,5,85,0,4.0,1.0,377,69,0,0
89.0,2200000000.0,6,251,0,1.0,,381,34,0,0
79.0,1600000000.0,1,622,0,,,142,30,1,0
67.0,1400000000.0,5,337,0,,,552,40,0,0
59.0,9900000000.0,2,256,0,,,393,32,1,0
53.0,2300000000.0,5,57,1,,,327,68,1,1
78.0,4800000000.0,10,60,1,,,336,61,1,1
67.0,1000000000.0,3,381,1,,,215,12,0,1
61.0,1800000000.0,2,775,1,,,109,51,1,1
56.0,1600000000.0,3,46,1,,,30,64,1,1
54.0,2200000000.0,1,850,1,,,246,30,1,1
83.0,1600000000.0,10,670,1,,,653,68,1,1
67.0,26600000000.0,12,84,1,,,391,54,1,1
50.0,2100000000.0,16,731,1,,,327,68,1,1
67.0,2300000000.0,4,84,1,,,437,48,1,1
61.0,2900000000.0,2,713,1,,,542,12,1,1
71.0,1000000000.0,4,381,0,,,540,57,1,0
65.0,5000000000.0,13,133,0,,,394,24,0,0
63.0,3600000000.0,12,564,1,,,11,36,1,1
81.0,1100000000.0,7,308,1,,,606,35,1,1
67.0,4900000000.0,0,162,1,,,135,3,1,1
78.0,1500000000.0,13,337,1,,,70,3,1,1
51.0,3800000000.0,6,444,1,,,218,30,1,1
61.0,4700000000.0,13,162,1,,,327,68,1,1
62.0,2800000000.0,10,714,0,,,144,24,1,0
64.0,1800000000.0,5,362,0,,,140,52,1,0
66.0,8900000000.0,0,337,1,9.0,1.0,598,69,1,1
55.0,1400000000.0,4,775,1,,,26,53,1,1
56.0,2800000000.0,16,720,1,,,13,45,1,1
35.0,1200000000.0,11,381,0,,,344,34,1,0
72.0,2300000000.0,10,121,0,3.0,2.0,98,69,0,0
67.0,1800000000.0,16,699,1,,,619,69,0,1
80.0,5100000000.0,5,854,1,8.0,1.0,414,69,1,1
80.0,1300000000.0,5,622,1,,,414,69,1,1
70.0,1100000000.0,5,124,1,,,238,27,1,1
77.0,1200000000.0,6,622,1,,,588,62,1,1
94.0,6400000000.0,13,337,0,1.0,1.0,105,69,0,0
69.0,5900000000.0,16,1,1,6.0,1.0,443,69,1,1
84.0,25500000000.0,10,162,0,,,295,31,1,0
81.0,2000000000.0,6,135,0,,,511,69,1,0
69.0,4800000000.0,13,84,0,,,610,10,1,0
77.0,5700000000.0,11,275,1,,,200,68,1,1
67.0,2600000000.0,1,636,0,,,450,22,1,0
70.0,4000000000.0,4,256,1,,,32,58,1,1
59.0,2500000000.0,5,840,1,,,414,69,1,1
74.0,4099999999.9999995,4,256,1,,,260,31,1,1
54.0,1900000000.0,8,775,1,,,16,69,1,1
47.0,2400000000.0,5,858,1,,,391,54,1,1
92.0,4900000000.0,9,162,1,7.0,2.0,170,69,0,1
71.0,2200000000.0,6,84,0,,,135,30,1,0
86.0,1800000000.0,12,782,1,,,122,34,1,1
66.0,6100000000.0,5,192,0,3.0,2.0,68,69,0,0
44.0,1100000000.0,16,46,1,,,537,69,1,1
54.0,1300000000.0,4,84,1,,,209,12,1,1
62.0,3700000000.0,10,46,1,,,454,40,1,1
55.0,6400000000.0,2,337,0,,,571,60,1,0
67.0,2500000000.0,16,666,1,,,619,69,1,1
86.0,1900000000.0,4,378,1,,,256,65,1,1
64.0,11900000000.0,16,162,1,8.0,1.0,418,69,1,1
42.0,28000000000.0,16,304,1,,,552,9,1,1
49.0,5000000000.0,16,175,1,8.0,1.0,20,69,1,1
45.0,5600000000.0,2,382,0,,,571,60,0,0
61.0,2300000000.0,4,256,1,,,526,9,1,1
47.0,33000000000.0,5,235,1,,,142,10,1,1
82.0,1800000000.0,5,54,1,8.0,,205,69,1,1
73.0,4200000000.0,6,295,0,1.0,1.0,324,69,1,0
40.0,2800000000.0,16,162,1,,,514,69,1,1
79.0,33100000000.0,9,256,1,,,189,61,0,1
73.0,2400000000.0,6,337,0,,,433,69,1,0
55.0,3000000000.0,15,467,0,5.0,2.0,309,69,1,0
83.0,1300000000.0,13,934,0,,,588,62,0,0
76.0,3100000000.0,0,540,1,,,181,69,1,1
65.0,4900000000.0,10,46,0,3.0,2.0,482,69,1,0
74.0,1900000000.0,3,120,0,,,528,9,1,0
63.0,2600000000.0,10,507,1,,,216,72,1,1
60.0,1400000000.0,10,781,1,,,398,30,1,1
59.0,43800000000.0,6,222,0,4.0,,75,34,1,0
49.0,1200000000.0,16,79,1,,,39,12,1,1
89.0,1600000000.0,3,622,1,,,256,65,1,1
73.0,1600000000.0,4,213,0,,,566,24,1,0
71.0,2400000000.0,8,73,1,,,335,12,1,1
58.0,1700000000.0,4,256,1,,,292,24,1,1
80.0,7400000000.0,5,84,1,7.0,1.0,349,69,1,1
67.0,1400000000.0,1,673,1,,,391,54,1,1
83.0,2500000000.0,0,512,0,,,46,34,1,0
69.0,1300000000.0,6,416,0,1.0,,160,69,1,0
41.0,1400000000.0,16,254,1,,,552,30,1,1
88.0,2100000000.0,15,915,1,,,107,69,1,1
38.0,1000000000.0,5,46,1,,,514,69,1,1
88.0,1200000000.0,5,256,1,,,597,33,1,1
68.0,1900000000.0,2,650,1,,,43,9,1,1
82.0,3200000000.0,10,568,1,9.0,,73,69,1,1
82.0,9700000000.0,6,273,1,10.0,1.0,5,69,1,1
61.0,3200000000.0,4,767,1,9.0,1.0,111,69,1,1
54.0,5200000000.0,2,491,0,,,477,30,1,0
49.0,3300000000.0,5,323,1,8.0,1.0,514,69,1,1
56.0,1000000000.0,9,361,1,,,391,54,1,1
68.0,2800000000.0,17,878,1,,,40,37,1,1
56.0,2100000000.0,9,763,1,,,391,54,1,1
72.0,7600000000.0,16,262,1,10.0,2.0,561,69,1,1
45.0,1100000000.0,5,376,1,,,327,24,1,1
43.0,1700000000.0,4,344,1,7.0,,230,69,0,1
98.0,1500000000.0,4,256,1,,,327,68,1,1
68.0,1400000000.0,5,861,1,,,414,69,1,1
74.0,1300000000.0,4,697,1,9.0,,516,69,1,1
69.0,1700000000.0,9,381,1,,,343,22,1,1
73.0,1800000000.0,14,208,0,,,325,69,1,0
66.0,1200000000.0,10,758,1,,,321,15,1,1
77.0,4800000000.0,11,233,1,8.0,3.0,441,69,1,1
46.0,2000000000.0,5,347,0,,,327,51,0,0
66.0,3300000000.0,2,622,0,,,393,30,1,0
84.0,2100000000.0,5,456,1,,,77,53,1,1
72.0,1300000000.0,1,775,1,,,294,40,1,1
38.0,2100000000.0,12,415,0,,,414,3,0,0
55.0,1700000000.0,10,803,1,,,95,12,1,1
63.0,3200000000.0,5,420,1,8.0,4.0,514,69,1,1
65.0,2600000000.0,10,651,1,,,209,12,1,1
72.0,5600000000.0,4,295,0,,,630,24,0,0
79.0,4000000000.0,11,295,0,1.0,2.0,148,69,0,0
44.0,1400000000.0,8,337,0,,,365,24,0,0
43.0,1100000000.0,6,296,0,,,493,69,0,0
65.0,1100000000.0,16,599,0,,,540,57,1,0
57.0,1200000000.0,6,895,0,,,48,24,1,0
47.0,1100000000.0,16,679,1,,,39,12,1,1
89.0,4000000000.0,13,248,1,8.0,1.0,50,69,1,1
78.0,1900000000.0,16,256,1,,,389,10,1,1
70.0,1400000000.0,6,623,1,,,400,12,1,1
66.0,1300000000.0,16,391,1,,,71,68,1,1
74.0,15400000000.0,5,258,1,8.0,3.0,205,69,1,1
41.0,1400000000.0,5,658,1,,,585,9,0,1
62.0,1400000000.0,13,622,1,,,542,12,1,1
68.0,5000000000.0,10,79,1,,,421,12,1,1
59.0,6800000000.0,16,149,1,,,548,27,1,1
61.0,2700000000.0,10,651,1,,,108,12,1,1
67.0,1500000000.0,2,325,0,,,135,30,1,0
61.0,1800000000.0,4,46,1,,,542,12,1,1
67.0,5900000000.0,16,262,1,,,588,62,1,1
57.0,1700000000.0,4,861,1,,,186,12,1,1
63.0,7700000000.0,8,261,1,,,542,12,0,1
48.0,1500000000.0,16,707,1,,,106,35,1,1
71.0,3300000000.0,5,534,1,,,147,24,1,1
62.0,8500000000.0,3,162,1,,,391,54,1,1
41.0,3000000000.0,16,592,1,,,174,69,1,1
69.0,1500000000.0,6,30,0,,,135,30,1,0
73.0,3500000000.0,10,742,1,,,135,30,1,1
74.0,2900000000.0,10,426,0,,,552,55,1,0
45.0,1700000000.0,6,658,0,3.0,1.0,414,69,1,0
66.0,1500000000.0,2,381,0,,,528,9,1,0
81.0,10100000000.0,16,46,1,8.0,2.0,88,69,1,1
55.0,2400000000.0,5,721,1,,,552,55,1,1
53.0,4000000000.0,16,351,0,,,540,57,0,0
84.0,6400000000.0,9,84,0,,,238,4,1,0
70.0,2700000000.0,4,295,0,,,376,34,1,0
63.0,23700000000.0,12,84,1,,,391,54,1,1
60.0,2400000000.0,2,650,0,,,256,65,1,0
73.0,5000000000.0,0,482,0,5.0,,457,69,1,0
66.0,9200000000.0,17,262,1,,,135,30,1,1
80.0,1900000000.0,2,31,1,,,597,33,1,1
45.0,8800000000.0,16,166,1,,,39,12,1,1
89.0,3600000000.0,5,510,1,8.0,2.0,414,69,1,1
31.0,1300000000.0,4,667,1,,,58,68,1,1
59.0,2800000000.0,12,919,1,,,391,54,1,1
79.0,6600000000.0,16,84,1,,,588,55,1,1
71.0,6200000000.0,8,261,1,9.0,2.0,331,69,1,1
67.0,3400000000.0,5,222,1,8.0,2.0,474,69,1,1
62.0,1200000000.0,2,863,1,,,82,18,1,1
85.0,2400000000.0,10,856,0,,,393,30,1,0
53.0,1300000000.0,4,256,1,8.0,,20,69,0,1
78.0,1000000000.0,4,785,1,,,354,50,1,1
50.0,4800000000.0,16,256,1,,,39,12,1,1
84.0,1700000000.0,5,658,1,,,528,9,1,1
40.0,1700000000.0,8,861,0,,,365,24,0,0
72.0,3000000000.0,6,727,0,,,393,30,1,0
60.0,7600000000.0,3,29,0,1.0,1.0,239,69,0,0
81.0,1100000000.0,6,28,0,,,135,30,1,0
73.0,1000000000.0,17,622,1,,,402,12,1,1
79.0,1300000000.0,13,31,1,,,364,3,1,1
43.0,8900000000.0,6,337,0,,,311,22,0,0
92.0,2500000000.0,6,566,0,,,442,10,1,0
58.0,2400000000.0,16,925,1,,,597,33,1,1
68.0,2300000000.0,16,162,1,,,468,69,1,1
54.0,2700000000.0,6,895,0,,,619,24,1,0
79.0,77400000000.0,4,207,0,4.0,1.0,45,69,1,0
67.0,5000000000.0,10,44,0,3.0,2.0,482,69,0,0
72.0,4900000000.0,4,193,0,,,613,48,1,0
50.0,1200000000.0,8,390,1,,,39,12,1,1
51.0,3100000000.0,4,179,1,,,552,12,1,1
83.0,3400000000.0,2,524,0,,,552,55,1,0
55.0,2100000000.0,10,356,0,,,649,10,1,0
44.0,2300000000.0,2,337,0,,,571,60,0,0
69.0,1600000000.0,10,622,1,,,215,12,1,1
75.0,3300000000.0,4,743,1,10.0,3.0,247,69,1,1
50.0,1100000000.0,5,75,1,,,571,60,1,1
68.0,3700000000.0,4,709,1,,,35,34,1,1
61.0,3400000000.0,6,562,1,,,610,10,1,1
52.0,2700000000.0,16,162,1,,,414,53,1,1
75.0,1700000000.0,16,927,1,,,619,62,1,1
72.0,1700000000.0,12,348,1,,,583,14,1,1
77.0,4700000000.0,16,162,1,,,29,30,1,1
56.0,2100000000.0,5,825,0,,,542,12,0,0
88.0,1500000000.0,10,908,1,,,543,12,1,1
66.0,1200000000.0,5,271,1,,,442,69,1,1
55.0,2900000000.0,10,738,1,,,605,12,1,1
86.0,10200000000.0,4,372,1,9.0,1.0,431,69,0,1
83.0,5100000000.0,16,162,1,,,634,24,1,1
57.0,3500000000.0,16,140,1,8.0,3.0,443,69,1,1
68.0,1800000000.0,9,337,1,,,18,25,1,1
81.0,8400000000.0,15,84,1,9.0,3.0,20,69,1,1
78.0,32000000000.0,7,337,0,2.0,2.0,309,69,0,0
41.0,1700000000.0,0,46,0,,,394,24,1,0
71.0,3500000000.0,8,57,1,8.0,1.0,593,69,1,1
64.0,2100000000.0,10,541,1,,,102,57,1,1
60.0,3200000000.0,10,573,0,4.0,2.0,564,69,1,0
61.0,2600000000.0,11,723,1,8.0,2.0,514,69,1,1
68.0,2500000000.0,5,256,1,7.0,2.0,205,69,1,1
86.0,7600000000.0,4,84,0,5.0,4.0,511,69,1,0
53.0,1900000000.0,8,17,1,,,316,12,1,1
80.0,1500000000.0,6,46,0,,,624,10,1,0
55.0,3500000000.0,12,316,1,,,391,54,1,1
84.0,4800000000.0,4,348,0,,,611,34,1,0
71.0,1200000000.0,5,182,1,,,414,69,1,1
76.0,3300000000.0,2,455,1,,,327,18,1,1
79.0,2000000000.0,13,317,1,,,294,40,1,1
79.0,2800000000.0,17,597,1,,,40,37,1,1
76.0,2200000000.0,12,838,0,,,584,40,1,0
55.0,1500000000.0,8,80,1,,,100,12,1,1
67.0,2500000000.0,2,400,0,,,354,50,1,0
58.0,1400000000.0,6,84,1,,,39,12,1,1
58.0,11000000000.0,5,337,1,,,182,54,1,1
72.0,4000000000.0,14,46,1,,,69,24,1,1
51.0,11500000000.0,4,84,1,8.0,1.0,76,69,1,1
75.0,1600000000.0,2,674,0,,,50,69,1,0
72.0,3800000000.0,8,239,1,,,238,12,1,1
59.0,1700000000.0,15,560,0,,,107,69,1,0
67.0,1200000000.0,6,337,1,,,489,24,1,1
58.0,7600000000.0,10,262,1,,,96,12,1,1
28.0,4700000000.0,4,138,0,,,376,34,1,0
62.0,1700000000.0,4,337,0,,,48,24,1,0
68.0,14800000000.0,16,186,1,,,443,24,1,1
74.0,7700000000.0,6,256,1,8.0,,624,10,1,1
68.0,121000000000.0,16,337,1,6.0,2.0,244,69,1,1
66.0,2700000000.0,0,97,0,,,210,30,1,0
90.0,2100000000.0,3,352,0,2.0,3.0,514,69,1,0
45.0,1400000000.0,16,46,1,,,514,60,1,1
60.0,8300000000.000001,12,354,1,,,391,54,1,1
67.0,3900000000.0,4,387,1,,,389,10,1,1
27.0,4900000000.0,2,295,0,,,393,32,1,0
83.0,7200000000.0,6,96,0,5.0,1.0,254,69,1,0
86.0,2100000000.0,6,84,0,5.0,1.0,250,69,1,0
52.0,1300000000.0,1,433,1,,,391,54,1,1
67.0,1100000000.0,11,256,1,,,78,28,1,1
46.0,3100000000.0,10,209,0,,,75,7,0,0
64.0,11300000000.0,16,46,1,9.0,,488,69,1,1
67.0,6500000000.0,5,216,1,8.0,2.0,107,69,1,1
63.0,6000000000.0,5,46,1,8.0,2.0,107,69,1,1
68.0,11200000000.0,6,337,0,2.0,1.0,214,69,0,0
63.0,2600000000.0,12,651,1,,,678,12,1,1
67.0,1500000000.0,5,232,1,,,610,10,0,1
95.0,11200000000.0,7,84,1,,,238,27,1,1
83.0,1300000000.0,0,861,1,,,619,4,1,1
55.0,2800000000.0,5,20,1,,,414,69,1,1
57.0,1400000000.0,10,51,1,,,81,57,1,1
59.0,1100000000.0,6,810,1,,,576,12,1,1
84.0,3900000000.0,14,295,0,,,450,22,0,0
84.0,3600000000.0,13,871,0,,,238,27,1,0
57.0,2300000000.0,4,337,0,,,51,24,1,0
85.0,3100000000.0,13,900,1,8.0,2.0,443,69,1,1
74.0,1700000000.0,10,938,1,,,97,12,1,1
85.0,3500000000.0,10,589,1,,,370,41,1,1
69.0,6000000000.0,16,94,1,8.0,2.0,552,69,1,1
64.0,1900000000.0,10,620,0,,,48,24,0,0
91.0,3000000000.0,4,273,1,,,618,24,1,1
72.0,4600000000.0,15,337,0,4.0,2.0,657,69,1,0
59.0,1200000000.0,16,229,1,,,47,53,1,1
80.0,3200000000.0,2,217,0,,,260,31,1,0
55.0,1400000000.0,1,622,1,,,39,12,1,1
74.0,4200000000.0,6,295,0,1.0,1.0,56,69,1,0
70.0,1400000000.0,10,908,1,,,314,12,1,1
69.0,1800000000.0,6,658,1,,,30,64,1,1
67.0,3200000000.0,6,828,0,,,370,41,0,0
73.0,15900000000.0,4,337,0,,,619,24,0,0
70.0,1700000000.0,16,381,1,,,221,12,1,1
61.0,1100000000.0,3,381,1,,,682,12,1,1
70.0,8900000000.0,14,256,0,5.0,2.0,128,69,1,0
61.0,1200000000.0,11,339,0,,,470,24,1,0
51.0,1200000000.0,5,381,0,,,393,30,0,0
54.0,1100000000.0,5,37,0,,,327,60,1,0
94.0,1100000000.0,16,290,1,,,41,33,1,1
70.0,2700000000.0,5,295,0,3.0,3.0,514,69,1,0
69.0,3700000000.0,6,471,0,5.0,2.0,76,69,1,0
74.0,1300000000.0,6,391,0,1.0,,461,69,1,0
65.0,1600000000.0,4,430,1,,,552,55,1,1
81.0,1700000000.0,5,256,1,8.0,,38,69,1,1
64.0,4400000000.0,15,46,0,2.0,1.0,87,69,1,0
58.0,7300000000.0,5,256,1,,,238,11,1,1
66.0,2000000000.0,5,13,1,8.0,,514,69,1,1
69.0,1400000000.0,16,266,1,,,513,69,1,1
79.0,5500000000.0,11,275,1,8.0,4.0,510,69,1,1
88.0,2200000000.0,10,622,1,,,421,12,1,1
75.0,2500000000.0,4,508,1,8.0,,399,69,1,1
59.0,8400000000.0,5,256,1,8.0,2.0,373,69,1,1
76.0,2100000000.0,10,936,0,,,393,30,0,0
40.0,10600000000.0,16,162,1,8.0,1.0,514,69,1,1
71.0,2500000000.0,5,767,0,,,588,62,1,0
67.0,1500000000.0,4,207,0,2.0,,514,69,1,0
81.0,15600000000.0,4,337,0,,,359,22,1,0
54.0,8900000000.0,9,91,0,,,358,22,1,0
91.0,2800000000.0,4,818,0,1.0,3.0,517,69,0,0
65.0,5300000000.0,16,619,1,9.0,1.0,23,69,0,1
58.0,2100000000.0,13,86,0,,,29,30,1,0
67.0,1400000000.0,4,658,1,,,642,10,1,1
44.0,1900000000.0,16,658,1,,,514,10,1,1
74.0,1300000000.0,8,325,0,,,135,30,1,0
70.0,9000000000.0,6,147,1,8.0,1.0,235,69,1,1
56.0,1400000000.0,16,775,1,,,540,57,1,1
67.0,9400000000.0,2,46,0,,,450,22,1,0
54.0,7400000000.0,5,345,1,6.0,2.0,414,69,1,1
60.0,1200000000.0,6,662,1,,,234,72,1,1
62.0,1800000000.0,4,775,1,,,583,54,1,1
64.0,2100000000.0,8,418,1,,,669,69,1,1
72.0,5100000000.0,14,256,1,,,100,12,1,1
60.0,1000000000.0,10,381,1,,,542,12,1,1
55.0,1100000000.0,6,256,1,,,391,54,1,1
47.0,4900000000.0,16,162,1,8.0,4.0,514,69,1,1
85.0,2100000000.0,14,509,0,,,165,58,1,0
69.0,1700000000.0,0,648,0,,,135,30,1,0
91.0,3000000000.0,2,564,1,,,79,1,1,1
56.0,8800000000.0,13,46,0,,,213,24,1,0
77.0,1000000000.0,10,381,0,,,636,12,0,0
53.0,1200000000.0,14,46,1,,,39,12,1,1
68.0,8500000000.0,6,84,1,,,179,12,1,1
64.0,2300000000.0,5,137,0,,,357,24,1,0
47.0,2900000000.0,5,265,1,8.0,1.0,414,69,1,1
48.0,6500000000.0,10,41,0,,,52,17,0,0
89.0,1500000000.0,10,256,1,,,215,12,1,1
65.0,2100000000.0,4,698,1,,,376,34,1,1
71.0,1600000000.0,16,94,1,8.0,,172,69,1,1
73.0,12200000000.0,4,235,0,,,85,56,1,0
75.0,27400000000.0,3,262,1,,,260,31,1,1
89.0,1600000000.0,6,775,1,,,547,12,1,1
61.0,3800000000.0,7,122,0,,,238,27,0,0
58.0,3700000000.0,8,859,1,,,348,24,1,1
74.0,1800000000.0,6,622,1,,,663,12,1,1
67.0,2200000000.0,8,109,1,,,548,27,1,1
55.0,4300000000.0,6,505,0,,,376,34,1,0
98.0,1500000000.0,5,168,1,,,389,10,1,1
59.0,1200000000.0,2,644,1,,,323,54,1,1
56.0,9900000000.0,17,84,1,,,450,22,1,1
56.0,1600000000.0,13,622,0,,,228,33,0,0
61.0,2800000000.0,2,531,1,,,620,12,1,1
66.0,2300000000.0,4,256,1,,,620,12,1,1
82.0,2900000000.0,14,424,1,9.0,1.0,355,69,1,1
26.0,1100000000.0,10,820,0,,,173,9,0,0
90.0,1300000000.0,6,381,1,,,574,24,1,1
72.0,1400000000.0,2,746,0,,,552,55,1,0
83.0,3100000000.0,13,899,1,8.0,1.0,414,69,1,1
70.0,2900000000.0,13,433,1,,,552,55,1,1
69.0,3800000000.0,2,27,0,,,393,30,1,0
67.0,1800000000.0,6,381,0,,,619,24,0,0
35.0,7200000000.0,16,162,1,,,514,32,1,1
73.0,3100000000.0,13,273,1,8.0,1.0,50,69,1,1
67.0,1500000000.0,6,876,1,,,179,12,1,1
89.0,2200000000.0,5,932,1,,,67,7,1,1
53.0,1100000000.0,14,202,0,,,385,15,0,0
72.0,8500000000.0,5,84,1,,,198,60,1,1
82.0,5100000000.0,16,873,0,1.0,3.0,514,69,0,0
61.0,1300000000.0,1,43,1,,,327,54,0,1
69.0,4300000000.0,17,337,1,,,376,33,1,1
93.0,19500000000.0,11,91,0,5.0,1.0,414,69,1,0
71.0,2700000000.0,8,278,1,,,29,30,0,1
82.0,1700000000.0,4,106,0,,,275,69,1,0
63.0,3800000000.0,5,91,1,8.0,2.0,373,69,1,1
75.0,4300000000.0,3,866,1,10.0,1.0,414,69,1,1
59.0,1700000000.0,5,84,0,,,588,62,1,0
34.0,2900000000.0,10,557,0,,,191,24,1,0
77.0,1700000000.0,6,647,0,,,20,69,1,0
82.0,5600000000.0,14,275,1,9.0,2.0,404,69,1,1
45.0,2200000000.0,16,163,1,,,475,69,1,1
72.0,4900000000.0,3,256,1,7.0,4.0,128,69,1,1
47.0,2200000000.0,5,84,1,,,492,9,1,1
65.0,4900000000.0,10,348,0,2.0,2.0,632,69,0,0
83.0,1200000000.0,10,337,1,10.0,,331,69,1,1
60.0,11200000000.0,0,84,1,,,31,12,1,1
68.0,1900000000.0,16,2,1,,,364,3,1,1
62.0,3200000000.0,13,836,0,5.0,2.0,50,69,1,0
77.0,3500000000.0,10,84,0,,,393,30,1,0
68.0,2800000000.0,8,508,0,,,393,30,1,0
78.0,3100000000.0,6,830,0,2.0,2.0,448,69,1,0
67.0,3500000000.0,10,120,0,,,376,34,0,0
51.0,1900000000.0,5,70,1,,,428,69,1,1
73.0,2800000000.0,4,38,0,,,393,30,1,0
47.0,1500000000.0,4,602,0,,,571,60,0,0
53.0,1400000000.0,16,381,1,,,548,12,1,1
54.0,5800000000.0,5,104,1,,,11,36,1,1
61.0,2800000000.0,5,685,1,,,205,69,1,1
86.0,3000000000.0,9,528,1,,,364,3,1,1
85.0,1100000000.0,4,508,0,,,238,68,1,0
41.0,1900000000.0,16,10,1,8.0,,151,69,1,1
86.0,1000000000.0,10,850,0,,,393,30,1,0
71.0,5100000000.0,13,46,1,,,142,67,1,1
96.0,1600000000.0,4,569,1,,,414,69,1,1
56.0,1200000000.0,13,92,0,,,24,69,1,0
61.0,5500000000.0,2,526,1,,,260,31,1,1
44.0,13000000000.0,16,144,1,,,584,3,1,1
86.0,1800000000.0,5,875,1,,,473,69,1,1
53.0,1100000000.0,5,256,1,,,28,69,1,1
64.0,7200000000.0,6,158,0,,,581,60,1,0
43.0,2500000000.0,11,663,1,,,552,55,1,1
80.0,4400000000.0,6,480,0,,,393,30,1,0
91.0,1900000000.0,5,245,1,,,610,10,1,1
51.0,2000000000.0,13,299,0,,,142,30,1,0
67.0,1100000000.0,6,381,0,,,389,10,1,0
69.0,62300000000.0,6,262,1,,,215,12,1,1
59.0,1700000000.0,10,861,1,,,542,12,1,1
84.0,12500000000.0,2,239,0,,,30,64,1,0
85.0,3800000000.0,16,91,1,,,606,35,1,1
38.0,3600000000.0,5,322,1,7.0,,414,69,1,1
48.0,1300000000.0,14,99,1,,,542,12,1,1
60.0,1500000000.0,13,894,1,,,552,55,1,1
46.0,6400000000.0,16,135,1,8.0,1.0,515,69,1,1
80.0,1000000000.0,6,325,0,,,135,30,1,0
72.0,1800000000.0,4,46,0,,,124,41,1,0
91.0,3500000000.0,0,621,1,9.0,2.0,373,69,1,1
63.0,1700000000.0,15,433,0,,,442,69,1,0
76.0,8199999999.999999,13,262,1,,,238,27,1,1
51.0,5500000000.0,4,262,1,,,293,51,1,1
66.0,2000000000.0,5,256,1,,,414,69,1,1
72.0,2300000000.0,7,91,0,,,294,40,1,0
71.0,8400000000.0,10,262,0,,,327,31,1,0
82.0,8800000000.0,2,222,0,,,294,40,1,0
59.0,4600000000.0,17,84,1,,,606,35,1,1
73.0,8300000000.000001,10,304,1,7.0,2.0,521,69,1,1
67.0,1500000000.0,4,381,0,,,606,35,0,0
70.0,4300000000.0,12,250,1,,,70,3,1,1
39.0,3100000000.0,2,609,0,,,256,65,0,0
